GradeCardID,StudentID,Semester,GPA,Grades
GRD001,STU001,1,8.7,"Data Structures:B+, Discrete Mathematics:A, Database Systems:A"
GRD002,STU001,2,7.3,"Algorithms:C, Data Structures:A+, Database Systems:C"
GRD003,STU002,1,9.3,"Operating Systems:A+, Data Structures:A, Discrete Mathematics:A"
GRD004,STU002,2,7.3,"Discrete Mathematics:A, Data Structures:C, Database Systems:B"
GRD005,STU003,1,9.0,"Algorithms:B+, Operating Systems:A+, Database Systems:A"
GRD006,STU003,2,8.7,"Operating Systems:A, Database Systems:A, Algorithms:B+"
GRD007,STU004,1,8.7,"Data Structures:A+, Discrete Mathematics:B+, Algorithms:B+"
GRD008,STU004,2,7.7,"Discrete Mathematics:B, Database Systems:C, Data Structures:A+"
GRD009,STU005,1,7.3,"Operating Systems:B+, Data Structures:C, Database Systems:B+"
GRD010,STU005,2,9.7,"Discrete Mathematics:A+, Algorithms:A+, Database Systems:A"
GRD011,STU006,1,8.3,"Database Systems:A+, Data Structures:B, Operating Systems:B+"
GRD012,STU006,2,8.3,"Operating Systems:B+, Database Systems:B+, Data Structures:A"
GRD013,STU007,1,8.0,"Research Methods:A, Machine Learning:C, Strategic Management:A"
GRD014,STU007,2,7.7,"Advanced Statistics:B+, Distributed Systems:C, Strategic Management:A"
GRD015,STU008,1,8.3,"Research Methods:A+, Machine Learning:B+, Distributed Systems:B"
GRD016,STU008,2,7.7,"Research Methods:C, Machine Learning:B+, Distributed Systems:A"
GRD017,STU009,1,8.0,"Distributed Systems:B, Strategic Management:A, Research Methods:B+"
GRD018,STU009,2,6.7,"Advanced Statistics:C, Strategic Management:C, Research Methods:B+"
GRD019,STU010,1,8.0,"Strategic Management:B, Distributed Systems:B+, Research Methods:A"
GRD020,STU010,2,9.7,"Advanced Statistics:A+, Distributed Systems:A+, Machine Learning:A"
